label,timestamp,duration,pkg,dram,socket
Energy_consumption,1655466630.391252,33955535.374,941640839.0,129325254.0,0
Energy_consumption,1655466664.3469667,34086006.714,941419648.0,129586915.0,0
Energy_consumption,1655466698.4331236,33918998.465,935767624.0,128836939.0,0
Energy_consumption,1655466732.352377,34045066.052,944780846.0,130525417.0,0
Energy_consumption,1655466766.3975775,33970502.565,946320941.0,129086544.0,0
Energy_consumption,1655466800.3683662,34269294.219,946039510.0,129702032.0,0
Energy_consumption,1655466834.637808,34218971.971,946982134.0,129632325.0,0
Energy_consumption,1655466868.8569274,33967689.905,947522598.0,129575624.0,0
Energy_consumption,1655466902.8248234,34132932.109,942036529.0,129783489.0,0
Energy_consumption,1655466936.9579158,33989455.805,954200438.0,130266113.0,0
